venue,spec,tercile,coef,point,ci_lo,ci_hi,se_boot,frac_negative,B_effective,block_length
CME,crypto,low,b,20.643978201631803,14.573853233134315,33.06460188872655,4.40620791781255,0.0,1000,27
CME,crypto,low,c,-17.33713703896024,-26.6758097635627,-12.328302373800733,3.5193118183671026,1.0,1000,27
CME,crypto,low,d,4.31051109687259,2.574494946180257,6.561210079387507,0.953452282518048,0.0,1000,27
CME,crypto,mid,b,13.539067351014538,8.779367108534892,20.611547736513245,2.974112880843448,0.0,1000,27
CME,crypto,mid,c,-12.039448803023621,-18.22406589418743,-7.2836297671302175,2.6349905732762893,1.0,1000,27
CME,crypto,mid,d,3.1534074977408797,1.5588071340229497,4.8417110678685535,0.7955567521014062,0.001,1000,27
CME,crypto,high,b,7.506431091511076,-1.0055594210830345,14.654850217458112,4.048291142995006,0.039,1000,27
CME,crypto,high,c,-9.49673903355041,-15.3055106443375,-2.7101884633047635,3.1476582003288507,0.993,1000,27
CME,crypto,high,d,3.343180607644604,1.655532487355245,4.929009877199923,0.7782307652657424,0.0,1000,27
DER,crypto,low,b,18.612954822526532,13.14990645351897,28.77413601934792,3.810703145014631,0.0,1000,27
DER,crypto,low,c,-16.199503573432267,-23.50981576571639,-11.91338388539365,2.891473382076514,1.0,1000,27
DER,crypto,low,d,4.208518650316742,2.853118944387997,5.8924330246921786,0.7494865889566236,0.0,1000,27
DER,crypto,mid,b,11.831623561810279,7.578986924601772,17.401231881548465,2.5187612044557515,0.0,1000,27
DER,crypto,mid,c,-11.162587751143233,-16.174717110780026,-7.356627758490341,2.1735271203901383,1.0,1000,27
DER,crypto,mid,d,3.119671802529517,1.8261146141857258,4.448452620136505,0.651640024050607,0.0,1000,27
DER,crypto,high,b,5.394805894050646,-2.923485168391546,10.985850789148866,3.6359065172903815,0.094,1000,27
DER,crypto,high,c,-8.076859690695038,-12.512952053517303,-2.0922843109568006,2.7254389624715287,0.99,1000,27
DER,crypto,high,d,3.0995009660781756,1.646026646012872,4.264719077059026,0.635901356249171,0.0,1000,27
