venue,spec,n_days,n_params,kl_total,kl_mean,converged,grad_inf,opt_status,opt_message,mean_b,std_b,mean_c,std_c,mean_d,std_d,c_low,n_low,c_mid,n_mid,c_high,n_high
CME,crypto,619,12,-174.087211535495,-0.28123943705249593,True,2.1830583446748743e-06,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.110533138977289,9.060192095781243,-13.110000795982153,7.273366063949551,3.6328062328406068,1.9849635991034118,-17.33713703896024,223,-12.039448803023621,192,-9.49673903355041,204
CME,macro,619,15,-171.89162624222314,-0.27769244950278377,True,2.016577454768027e-06,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.718944949051863,7.3083246686092425,-10.508798333979877,6.1749192062207525,2.7160587065034227,2.35644968451979,-11.166982794171759,223,-8.352559962220193,192,-11.818713200426291,204
CME,full,619,24,-178.72407032325947,-0.2887303236240056,True,4.752944935850257e-06,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.01928384522414,12.050011459376236,-12.298366636286488,9.421574826870957,3.148037305609692,2.7298559651284626,-16.239244693888793,223,-11.811886706890661,192,-8.448309477456501,204
DER,crypto,619,12,-155.84777482423695,-0.2517734649826122,True,1.9423189501267775e-06,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.15331349220892,8.57964723938023,-11.96023509207865,6.689934846951118,3.5052905366498357,1.7440916385967213,-16.199503573432267,223,-11.162587751143233,192,-8.076859690695038,204
DER,macro,619,15,-155.00347935576963,-0.25040949815148567,True,2.225651938480116e-06,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.007635742774275,7.124052555908065,-9.467644128157474,5.28392508765999,2.5842739868377937,1.9851316573378153,-10.668672915579561,223,-7.570900493007527,192,-9.939925296557783,204
DER,full,619,24,-161.54006779084702,-0.26096941484789504,True,1.8795230291148752e-05,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.871943028928365,11.096952877033877,-10.87475387700664,8.148776806648051,2.9071683745311527,2.284585189283516,-14.942384947109069,223,-10.363826050266319,192,-6.909148063777714,204
