venue,test,coef,diff_point,ci_lo,ci_hi,frac_negative,se_boot,B_effective
CME,per_coef_diff,b,13.137547110120728,7.7269766288257555,30.427918316132153,0.0,6.256285543951054,1000
CME,per_coef_diff,c,-7.8403980054098295,-20.24517774726282,-3.019183939279265,0.994,4.635853456475604,1000
CME,per_coef_diff,d,0.9673304892279861,-0.6638573652086,3.829519858437167,0.08,1.0919362667349444,1000
CME,curv_at_money_diff,2c+6d@R=1,-9.876813075451743,-20.106298765674254,-7.501488514056348,1.0,3.5977587029906455,1000
DER,per_coef_diff,b,13.218148928475884,8.5176938250998,28.84718958443918,0.0,5.646621027320861,1000
DER,per_coef_diff,c,-8.12264388273723,-19.06402798890158,-4.352245034807417,1.0,3.9714000414219206,1000
DER,per_coef_diff,d,1.1090176842385664,0.028222917807508786,3.4656703802772633,0.025,0.8495419147876461,1000
DER,curv_at_money_diff,2c+6d@R=1,-9.591181660043059,-19.480000213343498,-7.129113267937602,1.0,3.5162267703031054,1000
