dep_var,regressor,coef,se,t_stat,p_value,stars
Pi_2,const (venue wedge),0.0036980362961487856,0.0004407318349747555,8.390672065612424,4.833709102799522e-17,***
Pi_2,Z_IVS_1,0.0025001295933987475,0.0020917531927602644,1.1952316372944516,0.2319965409165431,
Pi_2,rv,0.0008380465298081832,0.0011814709316293576,0.7093247132643709,0.478122995747166,
Pi_2,fng,-0.0007114392656547197,0.0006070709441130576,-1.171921128088491,0.24122872356052216,
Pi_3,const (venue wedge),0.0023952339109118118,0.0005481379659133847,4.369764657553934,1.2438051177017773e-05,***
Pi_3,Z_IVS_1,0.003442557182020472,0.00347988536730748,0.9892731566281766,0.32252951385503625,
Pi_3,rv,0.0010352655644159548,0.0016183778573732896,0.6396933569619174,0.5223719751063048,
Pi_3,fng,-0.0009196783411568851,0.0009411614208500799,-0.9771738628281313,0.3284830853850098,
Pi_4,const (venue wedge),0.0036614613874854473,0.0009660919114633225,3.789972096898623,0.00015066420828203404,***
Pi_4,Z_IVS_1,0.0058943430836349425,0.0061676811128672515,0.9556822046681271,0.3392328157476753,
Pi_4,rv,0.0019465707266058893,0.0026306035514185627,0.7399711467568703,0.4593175020460195,
Pi_4,fng,-0.0020013355933084314,0.0017163991014800635,-1.1660082970112633,0.24361109091488964,
Pi_2,R²,0.1273424047122037,,,,
Pi_2,N,621.0,,,,
Pi_3,R²,0.1222005049951509,,,,
Pi_3,N,621.0,,,,
Pi_4,R²,0.11625881301681218,,,,
Pi_4,N,621.0,,,,
