regime,n_days,mean_down,mean_mid,mean_up,se_down,se_mid,se_up,lo_down,hi_down,lo_mid,hi_mid,lo_up,hi_up
unconditional,619,0.03148157892945791,-0.0064266138221309305,0.07758515330516288,0.005277707219428186,0.0012018344931399884,0.016876717053992497,0.021376928951937952,0.042753714904227004,-0.008835645084317223,-0.004001074448956219,0.05065190647308727,0.11484791179130303
low,223,0.03262788467714488,-0.002167056966122047,0.09767396690708663,0.011330098016638602,0.0013523031539354247,0.04729200346665296,0.013137932257180985,0.05927640550458803,-0.0047200454177941656,0.000604225207201547,0.02556216538617818,0.20001291314515565
mid,192,0.03194775218546172,-0.0058662077380656095,0.06876087675410415,0.006537801785584891,0.0009517873550737938,0.011482771453860383,0.019728648883887274,0.04594768201337166,-0.007912690313958016,-0.004160472955743391,0.046425577092718495,0.09070583155918187
high,204,0.029789758111384776,-0.011610335131104085,0.06393052420993885,0.004468254848574425,0.0013605399349562767,0.009653457925746546,0.020052704877800365,0.03783018772397595,-0.014019982256870449,-0.008682347524752106,0.04204668099841778,0.08030025513385769
