cumulant,predicted_wedge,pred_ci_lo,pred_ci_hi,measured_wedge,meas_ci_lo,meas_ci_hi,residual,n_days,block_length,B
Pi_2,-0.0036707317016199856,-0.005124317833126773,-0.0022962814983135595,0.0029377245111786507,0.002023017576470287,0.003906510471359992,0.006608456212798637,619,27,1000
Pi_3,-0.015987266625981694,-0.02067527559602357,-0.01199472289797313,0.001165133217135293,0.0007066032777926807,0.0016478533307520268,0.017152399843116988,619,27,1000
Pi_4,-0.0037411789165075378,-0.00529303633514236,-0.0022219884403363315,0.0015431388573072216,0.0008710483171319912,0.0022258324762582365,0.005284317773814759,619,27,1000
