date,pred_wedge_Pi_2,pred_wedge_Pi_3,pred_wedge_Pi_4,meas_wedge_Pi_2,meas_wedge_Pi_3,meas_wedge_Pi_4
2020-01-16,0.0019034209997832868,-0.007366817037625971,0.0016577070891035843,0.005729186981685945,0.0029536195451171964,0.0035167603929339734
2020-01-17,0.0018776898418521523,-0.006662161860176954,0.0014069559489253338,0.005734602415408296,0.0023636966937782265,0.0035550928601877727
2020-01-21,0.0022223431553702495,-0.005040728961590159,0.0016080170942371083,0.005017299328398159,0.0025826764554350732,0.0034918294197610117
2020-01-23,0.0007621774997956937,-0.004862713812326534,0.0005500285114322335,0.0029572884266736467,0.002759257845074686,0.0028198320539635216
2020-01-24,0.0011742896390739312,-0.004589898791484576,0.0008181703296614475,0.00305176691631168,0.002272816745537571,0.0022119952084386106
2020-01-29,0.0009477464860979945,-0.006234038435876922,0.0005982502179798736,0.0032847664270041765,0.0026400145463648674,0.00269420886625224
2020-01-30,0.0012247255429005677,-0.007841317409453246,0.0008735118782804783,-0.0005138087455739543,0.0016911016031519012,0.0013149854180722776
2020-01-31,0.001083886994775459,-0.006288737677865984,0.0007119932337992909,0.0005767716240714059,0.001020240901716967,0.0004900485305835839
2020-02-03,0.0010859192963111747,-0.0038337204818402987,0.0006127893485538332,0.006500325969136592,0.003225895432552362,0.0038666205003550745
2020-02-04,0.0006010816572445607,-0.0033011159447425033,0.0002933825674520836,0.00731129426286899,0.0032846116256576427,0.004731856206164753
2020-02-05,0.0015226694471939493,-0.004727099948495251,0.0008980124482919939,0.005804785234445574,0.00151279001006193,0.003638557526964438
2020-02-06,0.001479473889088534,-0.005396927146675965,0.0008240363580467305,0.0077809780051568515,0.002121616222700213,0.004921182332592208
2020-02-07,0.0015348583574115934,-0.006106849652351825,0.0009173481175972584,0.009147889309737572,0.003557222599089925,0.006732122672398812
2020-02-10,0.0005660910793657999,-0.008025724039857867,4.846295900795897e-05,0.005410208864735273,0.00048812532170026046,0.0021432056594158765
2020-02-11,0.0026529216984870797,-0.006593308579879194,0.0022870431356181147,0.005459811559175697,0.0022694981345854808,0.004306859376031577
2020-02-12,0.0025464266117852866,-0.00736200164529084,0.0021914016849193686,0.005294125878483796,0.0026819367550251602,0.0044256328824001535
2020-02-13,0.002175316860139699,-0.0064286879196513635,0.001796283306278579,0.007386734734894887,0.0029858826424912347,0.0054321474455536825
2020-02-14,0.002579699786227286,-0.006220664601750264,0.002192128121201257,0.005592024928209722,0.002245592119457109,0.003970475798257695
2020-02-18,0.0033289896658349506,-0.007130768958286907,0.00289388344206368,0.00583471352424798,0.002416762056477772,0.004050415262234877
2020-02-20,-6.579329119779653e-06,-0.011664798005869892,-0.00017245302575412576,-0.0007864053801863585,-0.002108533166423744,-0.0034779141005662952
2020-02-26,0.0029291082793919884,-0.010688137654598653,0.002576948126719915,-0.0011545736178685609,0.0002786635474328371,-0.0011874821004479747
2020-02-27,0.002446401918192405,-0.012721300805408647,0.002322970112377724,-0.0055293297796523005,-0.0029869995295799248,-0.00412747401110658
2020-03-02,0.0010856945942886442,-0.006625186504953519,0.0007552497151954813,0.0039020070004933648,-0.0002730233203142563,0.002736604792687167
2020-03-06,0.0015313057148085424,-0.006782425298268856,0.0011103753941805504,0.002995555327833327,-0.00019020209406018845,0.001006767896897175
2020-03-09,-0.005930480863331006,-0.015511560875318523,-0.0067257526945832015,-0.0012271399781800876,-0.004220027703624401,-0.0036853329888088086
2020-03-10,-0.0027818589868934818,-0.012052682129406578,-0.003471818973861524,0.0035256241403135782,-0.0017835222274423584,-0.00011097136361805024
2020-03-11,-0.004869033423130144,-0.01617505889403674,-0.005706170402390836,0.00017719062565418886,-0.005851056084931682,-0.005647795984770382
2020-03-16,-0.011556233389258985,-0.11838484248423187,-0.019695101475605353,0.003636393783850722,0.008523594212869828,0.02055799100461178
