dep_var,regressor,coef,se,t_stat,p_value,stars
Pi_2,const,0.050579822317776885,0.0005995651662564864,84.3608420975869,0.0,***
Pi_2,DER,0.003725962198901367,0.0004354373749303981,8.556826798565323,9.223359648915477e-17,***
Pi_2,Z_IVS_1,0.02784009574714083,0.0009009892615983227,30.899475647194173,2.524409473688482e-127,***
Pi_2,rv,0.0004239527743778171,0.0006225530156221264,0.6809906365229873,0.49613331751441714,
Pi_2,fng,-0.004135880850204499,0.0007696868655956339,-5.3734590455871745,1.0968919847942294e-07,***
Pi_2,DER×Z_IVS_1,0.0025278709033218494,0.0021081805863356505,1.1990770239069921,0.23095903967695952,
Pi_2,DER×rv,0.0008245912141187084,0.0011909131712156756,0.6924024639655061,0.48894554175780597,
Pi_2,DER×fng,-0.0006777117035170199,0.0006002177580160748,-1.1291097180414806,0.25929106285180453,
Pi_3,const,0.017616671364483475,0.0010172901123621653,17.317254095370355,4.914702012969099e-55,***
Pi_3,DER,0.002436100598734968,0.0005439255867135995,4.478738743389325,8.949630788093718e-06,***
Pi_3,Z_IVS_1,0.01420681667050229,0.0018921057904075513,7.508468470699095,2.1083573894615705e-13,***
Pi_3,rv,0.0016692789483667286,0.0011357975681932724,1.469697589705243,0.14215420958625666,
Pi_3,fng,-0.0069994016933274325,0.00134542861079137,-5.2023582947373495,2.682972966467499e-07,***
Pi_3,DER×Z_IVS_1,0.0034799302297649493,0.0035037464645099148,0.9932026375235182,0.3210011861761035,
Pi_3,DER×rv,0.0010209617197313448,0.0016342220370729565,0.6247386808955178,0.5323739105369134,
Pi_3,DER×fng,-0.0008539277966729056,0.0009380852444144699,-0.9102880593819666,0.36302665880356144,
Pi_4,const,0.029352253490846587,0.0019373451670959135,15.150760943051623,2.6357323416603906e-44,***
Pi_4,DER,0.0037066351206137965,0.0009617514018224684,3.854047016297473,0.00012837209410125784,***
Pi_4,Z_IVS_1,0.0302958435430829,0.003344883296229285,9.057369378846689,1.7510004142711797e-18,***
Pi_4,rv,0.000729676541871005,0.002312930973261175,0.3154770074448781,0.7525063535635644,
Pi_4,fng,-0.007096612243292437,0.0020077089480658302,-3.53468178250095,0.00043887980871196695,***
Pi_4,DER×Z_IVS_1,0.00595205970063753,0.006201085570626759,0.9598415685200649,0.33751154443532577,
Pi_4,DER×rv,0.001921183114134084,0.0026535440313612394,0.7240064952487477,0.4693366109280223,
Pi_4,DER×fng,-0.0019262787932758096,0.0017078570248429418,-1.127892303193796,0.2598045141313041,
Pi_2,R²,0.9518310208206593,,,,
Pi_2,N,1245.0,,,,
Pi_3,R²,0.6944385572681858,,,,
Pi_3,N,1245.0,,,,
Pi_4,R²,0.7472028747939058,,,,
Pi_4,N,1245.0,,,,
