rank,reconstruction_error,explained,corcondia
1,0.47366813018742354,0.77563850244475,100.0
2,0.43356397293132554,0.8120222813760049,-9211.915645896292
3,0.3606877975558243,0.8699043126943287,-164918.44907763664
4,0.3184278207720233,0.8986037229583802,-250769.93083257222
5,0.2876074752744085,0.9172819401662805,-983679.2309936483
6,0.26478529373634674,0.9298887482209566,-1004520.0219428987
