rank,reconstruction_error,explained,corcondia
1,0.4544664959265615,0.7934602040802327,100.0
2,0.37612126370336957,0.8585327949901803,-60.90120006616715
3,0.27837038447649537,0.9225099290464082,-189869.34498969823
4,0.2356357360321205,0.9444757999046008,-188.67476722074065
5,0.19886707146014063,0.9604518878888674,-92.16838575154867
6,0.1755037522777743,0.9691984329364216,-276432.1720198872
