venue,count,mean,std,min,5%,25%,50%,75%,95%,max,mean_pct,median_pct
CME,772.0,0.0168,0.0078,0.0007,0.0055,0.0112,0.0163,0.0221,0.0304,0.0594,1.68,1.63
DER,1327.0,0.026,0.0085,0.0091,0.0153,0.0203,0.0246,0.0295,0.0405,0.077,2.6,2.46
