venue,n_days,xi_L_mean,xi_L_sd,xi_L_p25,xi_L_median,xi_L_p75,xi_L_min,xi_L_max,n_fitted_L,exp_fallback_L_pct,splice_skipped_L_pct,share_xi_L_ge_025_pct,share_xi_L_ge_050_pct,share_xi_L_ge_100_pct,xi_R_mean,xi_R_sd,xi_R_p25,xi_R_median,xi_R_p75,xi_R_min,xi_R_max,n_fitted_R,exp_fallback_R_pct,splice_skipped_R_pct,share_xi_R_ge_025_pct,share_xi_R_ge_050_pct,share_xi_R_ge_100_pct,share_both_tails_ok_pct,share_either_tail_violates_pct
CME,624,-0.05800457548955706,0.10350297185693137,-0.12273518778226963,-0.06923820825937882,0.0075675085038297415,-0.47516395365940106,0.30363693656199375,624,0.0,0.0,0.16025641025641024,0.0,0.0,0.20143426357671415,0.08650313779119191,0.14206423091215378,0.19308851866893822,0.2524696927685727,-0.01804509625046636,0.4886484352741517,624,0.0,0.0,26.282051282051285,0.0,0.0,73.71794871794873,26.282051282051285
DER,1317,-0.0657339838034866,0.10752072044945153,-0.1277971459619294,-0.06953315558134877,0.002636093814344267,-0.682348740319887,0.2468708973050515,1317,0.0,0.0,0.0,0.0,0.0,0.21068482870587976,0.07565995899795591,0.15432146191504875,0.20238141985086,0.264313331348945,0.03098335402786018,0.4392561976674526,1317,0.0,0.0,31.359149582384205,0.0,0.0,68.6408504176158,31.359149582384205
