rank,reconstruction_error,explained,corcondia
1,0.4569489394324659,0.7911976667515446,100.0
2,0.3794372272078107,0.8560273906088482,-55.67711755290192
3,0.2776605866770424,0.9229045986061606,-153751.47421314116
4,0.2355329385303631,0.944524234867252,-174.3348140569531
5,0.198911602688336,0.9604341743159576,-123.41393997082628
6,0.1766069650443175,0.9688099798978352,-138724.8499117776
