venue,tercile,n_days,b_enh,c_enh,d_enh,curv_enh,b_kde,c_kde,d_kde,curv_kde,curv_delta,curv_sign_agrees,converged_enh,converged_kde,kl_mean_enh,kl_mean_kde
CME,low,223,20.475617525577114,-17.187711860373003,4.268073619419007,-8.766982004231963,15.139763159564467,-11.684940763495653,2.416840473169306,-8.86883868797547,-0.10185668374350776,True,True,True,-0.28116087219547375,-0.3048930657200726
CME,mid,191,13.393103104364132,-11.898411834735475,3.1096503790477787,-5.138921395184276,4.856199633914031,-3.4937151403686584,0.4303076129661034,-4.405584602940696,0.7333367922435805,True,True,True,-0.28116087219547375,-0.3048930657200726
CME,high,205,7.593993899069486,-9.560905305355146,3.3565385551020697,1.0174207199021268,-7.765986446925649,5.4021949574291455,-1.327409719892933,2.8399315955006923,1.8225108755985655,True,True,True,-0.28116087219547375,-0.3048930657200726
DER,low,223,18.962380702108657,-16.602757934230063,4.353020968421137,-7.087390057933305,11.753051937232588,-9.198040227605683,1.8818920737907305,-7.104728012466982,-0.01733795453367648,True,True,True,-0.25133302421999426,-0.2734387589054275
DER,mid,191,12.16654583079891,-11.522761826920743,3.2421247087179097,-3.592775401534027,1.7375101238641801,-1.2065299507113256,-0.05667623481986438,-2.7531173103418376,0.8396580911921894,True,True,True,-0.25133302421999426,-0.2734387589054275
DER,high,205,5.883226100209864,-8.587792086051826,3.265615701291816,2.4181100356472456,-11.003324749101774,7.884672864642358,-1.8947226840651026,4.401009624894101,1.9828995892468555,True,True,True,-0.25133302421999426,-0.2734387589054275
