venue,spec,n_days,n_params,kl_total,kl_mean,converged,grad_inf,mean_b,std_b,mean_c,std_c,mean_d,std_d,c_low,n_low,c_mid,n_mid,c_high,n_high
CME,crypto,624,12,-175.36995686259218,-0.2810415975362054,True,0.0010714984520382319,14.189001361719288,9.044988159470101,-13.198120060451165,7.233003646124591,3.6641262691500547,1.9651185976554493,-17.399919160046597,224,-12.142218770977854,193,-9.635733348175664,207
CME,macro,624,15,-173.13608401294914,-0.2774616730976749,False,0.002404476605730263,11.7573242966822,7.404136859971332,-10.56183299630521,6.231879878771663,2.7378716200308566,2.3555159263951917,-11.190275187311336,224,-8.473122179335492,193,-11.829224961956324,207
CME,full,624,24,-179.77724718399767,-0.28810456279486807,False,0.13828867024501912,13.731334400343462,10.232153676613079,-12.061505873393049,8.420467076739698,3.0812557505591793,2.7508465247218328,-13.360767514876892,224,-12.81960040177524,193,-9.948719150348877,207
DER,crypto,765,12,-191.44851037379465,-0.2502594906846989,True,0.0018104628816195951,12.441725498762432,8.67431380490447,-12.333529596081972,6.876514933374189,3.6486611970544534,1.8191926576173714,-16.817287528309073,257,-11.529540921755599,254,-8.600802567328174,254
DER,macro,765,15,-190.37485002484868,-0.24885601310437735,False,0.06826326174587512,10.117044605775272,7.181112466328882,-9.687634052064391,5.658662271263836,2.6864603989725464,2.109371682552624,-10.829800540707335,257,-7.765340939664732,254,-10.454270520443435,254
DER,full,765,24,-198.07066285766348,-0.2589158991603444,False,0.22008634910840463,10.225889189932252,8.428137954770845,-9.398729466152865,6.5915307257100535,2.4747281442664986,2.2977803833369257,-10.684680540882447,257,-9.48320742632965,254,-8.013112032726074,254
