venue,test,coef,diff_point,ci_lo,ci_hi,frac_negative,se_boot,B_effective
CME,per_coef_diff,b,12.881624176747152,7.450294475359109,30.25003992546053,0.0,6.254667074962581,1000
CME,per_coef_diff,c,-7.626807440238309,-20.02037132167875,-2.8669238312064054,0.994,4.632843053367722,1000
CME,per_coef_diff,d,0.9115251147937133,-0.6638467311932909,3.74514228798515,0.083,1.0909290718833604,1000
CME,curv_at_money_diff,2c+6d@R=1,-9.784464191714338,-20.11781886527171,-7.44966048914057,1.0,3.601657815141652,1000
DER,per_coef_diff,b,13.079150313717374,8.386729419853854,29.311636787800367,0.0,5.827671766240506,1000
DER,per_coef_diff,c,-8.0149727066057,-19.28888501313373,-4.214841253472821,0.999,4.160602251235427,1000
DER,per_coef_diff,d,1.0873955336440417,0.007110385226433254,3.6493299947970215,0.025,0.9106515649171427,1000
DER,curv_at_money_diff,2c+6d@R=1,-9.50557221134715,-19.44537364123558,-7.089351433298949,1.0,3.5103327386932883,1000
