venue,high_episode,curv_high,curv_calm,curv_diff_calm_minus_high,diff_lo,diff_hi,P_diff_lt_0
CME,high_2,3.562770098373189,-8.459316802903896,-12.022086901277085,-30.591417302545523,-9.240448865610821,1.0
CME,high_1,-0.26433570412893204,-8.459316802903896,-8.194981098774964,-16.666906711323968,-6.1355670502874275,1.0
DER,high_2,4.851493708222419,-6.786146058574332,-11.63763976679675,-29.464166018133426,-8.758554293495086,1.0
DER,high_1,1.1931438627069824,-6.786146058574332,-7.979289921281314,-16.404698753930507,-5.906530805188481,1.0
