venue,spec,tercile,coef,point,ci_lo,ci_hi,se_boot,frac_negative,B_effective,block_length
CME,crypto,low,b,20.698887923524122,14.761081516614121,32.76457769552512,4.308659859949192,0.0,1000,27
CME,crypto,low,c,-17.399919160046597,-26.71876243391181,-12.196755167046442,3.4470866497027552,1.0,1000,27
CME,crypto,low,d,4.333507996708367,2.6212957456024064,6.5459571959149,0.9353767080062144,0.0,1000,27
CME,crypto,mid,b,13.65090018963359,8.73772501178005,20.74252572083582,2.952227670012228,0.0,1000,27
CME,crypto,mid,c,-12.142218770977854,-18.16337074046733,-7.347176785095882,2.61721068914282,1.0,1000,27
CME,crypto,mid,d,3.18401066407781,1.6407703358584944,4.800990951315003,0.7906352753719659,0.001,1000,27
CME,crypto,high,b,7.646194291034537,-1.3526845213252072,14.72849608912466,3.9888074559589866,0.041,1000,27
CME,crypto,high,c,-9.635733348175664,-15.60794741937151,-2.8390032323630474,3.1154069390515575,0.996,1000,27
CME,crypto,high,d,3.387415181255758,1.8317359074366568,5.030364094323412,0.773567079460257,0.0,1000,27
DER,crypto,low,b,19.173597852814908,14.069769936303262,28.515320625370965,3.7153946358392207,0.0,1000,27
DER,crypto,low,c,-16.817287528309073,-23.823173842655066,-12.836703249062252,2.82505870026983,1.0,1000,27
DER,crypto,low,d,4.422260056029037,3.254234880351069,6.088247880001699,0.7200716054385896,0.0,1000,27
DER,crypto,mid,b,12.111471821146987,8.331286685983983,17.217266611061802,2.2972284961442644,0.0,1000,27
DER,crypto,mid,c,-11.529540921755599,-15.640875230102282,-8.028053344578845,1.987955967700851,1.0,1000,27
DER,crypto,mid,d,3.262234281647892,2.0961773747628034,4.463767140857529,0.5958042007330665,0.0,1000,27
DER,crypto,high,b,5.960596518931082,-1.3191191112281753,10.805386234310738,3.28093712027875,0.059,1000,27
DER,crypto,high,c,-8.600802567328174,-12.586784707942552,-2.9576855334895815,2.495059170475139,0.995,1000,27
DER,crypto,high,d,3.2523522590890925,1.9309498612872538,4.301766317169038,0.5983450929306824,0.0,1000,27
