venue,mean_diff,ci_lo,ci_hi,se_boot,p_two_sided,B_effective,n_fail,block_length
CME,8.152274424495876e-05,-0.016779727593141083,0.014707129935937266,0.00803106005542475,0.976,500,0,54
DER,8.152274424495785e-05,-0.01677972759314109,0.014707129935937233,0.008031060055424746,0.976,500,0,54
