n_bins,van_sigma_L,van_sigma_R,van_k_L,van_k_R,van_any_bound_binds,van_binding_detail,van_in_cluster_box_L,van_in_cluster_box_R,van_rank_deficient,enh_scale_L,enh_scale_R,enh_xi_L,enh_xi_R
8,0.052580568748301554,0.1475259062396556,0.24393918895190395,-0.05,True,k_R_lower,True,False,True,0.18709702307852605,0.06947033710564675,-0.3010255187339008,0.10168012501607558
9,0.08799605637290253,0.13894235157235324,-0.05,-0.05,True,"k_L_lower,k_R_lower",True,False,True,0.31758583289819386,0.1793045531809983,-0.4028600098669884,-0.1484673450833087
10,0.0984715482694976,0.15052898379117846,-0.05,-0.05,True,"k_L_lower,k_R_lower",True,False,True,0.4811933938785995,0.10483250783498257,-0.4949375000822099,-0.03819530910563226
11,0.10175683241394114,0.14108730415767434,-0.05,-0.05,True,"k_L_lower,k_R_lower",True,False,True,0.06287407253254161,0.20564655301807175,0.01595927031350435,-0.16429122761778273
12,0.02914314943121843,0.041127065490068136,0.5,0.4999999999999993,True,"k_L_upper,k_R_upper",False,False,True,0.036652821786415164,0.14302308547729775,0.38463330941172214,-0.124580214169451
13,0.029495189428733793,0.14959516986342458,0.5,-0.05,True,"k_R_lower,k_L_upper",False,False,True,0.015722595467518845,0.016689351461308174,0.8436362577029498,0.9499999999999219
