venue,estimator,sigma2_Q,sigma2_P,total,downside_contrib,mid_contrib,upside_contrib,downside_share,mid_share,upside_share,ci_lo,ci_hi,se_boot,B_effective,n_fail
CME,almeida,0.035524369985924925,0.04034812875683839,-0.0048237587709134624,-0.0007572862079915469,-0.0004997880399130657,-0.0035666845230088637,0.15699089526571444,0.10360966699386218,0.7393994377404263,-0.02212354160444262,0.00871612476908545,0.00847141689079215,500.0,0.0
CME,vanilla,0.035524369985924925,0.043895902811615164,-0.00837153282569024,-0.0002647661778569707,-0.0006257353067332589,-0.007481031341099995,0.031626965260706665,0.074745607496518,0.8936274272427736,,,,,
CME,kde,0.035524369985924925,0.04344680371501405,-0.007922433729089122,-0.0005800218923140187,-0.0007087590332354042,-0.006633652803539707,0.07321258998788828,0.0894622861448528,0.83732512386726,,,,,
DER,almeida,0.03774144355564005,0.04034812875683839,-0.00260668520119834,0.00017769020910170957,-0.000523129511123922,-0.0022612458991761184,-0.06816711470185283,0.2006876437873779,0.8674794709144713,-0.020669455447164906,0.010794417620396509,0.0083930842951541,500.0,0.0
DER,vanilla,0.03774144355564005,0.043895902811615164,-0.006154459255975117,0.00067021023923629,-0.0006490767779441142,-0.006175592717267279,-0.10889831443527875,0.10546446908620798,1.0034338453490685,,,,,
DER,kde,0.03774144355564005,0.04344680371501405,-0.005705360159374,0.0003549545247792424,-0.0007321005044462597,-0.005328214179706973,-0.062214218710811155,0.12831801744249338,0.9338962012683161,,,,,
