estimator,venue,statistic,point,ci_lo,ci_hi,se_boot,B_effective,n_excluded,block_length,n_returns
raw_moment,ALL,total_ep,0.04416204592692541,-0.010200156041006235,0.10474899558574118,0.029259767491476598,500,0,54,1300
almeida,CME,total_ep,0.036286374037929545,-0.012400824903165958,0.10417183988538373,0.029686693541833915,500,0,54,1300
almeida,CME,downside_contrib,0.004217673234281008,-0.016965011823123884,0.0322395073942083,0.01401478113781001,500,0,54,1300
almeida,CME,mid_contrib,-0.002665454934458889,-0.005488029053106661,0.0021303527798098784,0.0017925957933162381,500,0,54,1300
almeida,CME,upside_contrib,0.034734155738107425,-0.0005092788291569964,0.07622932361872192,0.019849270900858737,500,0,54,1300
almeida,CME,downside_share,0.11623297576859963,-2.572141688941554,1.773541878191113,4.91078825753101,500,0,54,1300
almeida,CME,mid_share,-0.07345608386422775,-1.005739542847994,0.6791118343751227,1.7472415438855116,500,0,54,1300
almeida,CME,upside_share,0.957223108095628,-1.4611668248412928,4.26746535856107,6.612497224991135,500,0,54,1300
almeida,DER,total_ep,0.03615402419157851,-0.012533174749516988,0.10403949003903269,0.029686693541833932,500,0,54,1300
almeida,DER,downside_contrib,0.00695553585293435,-0.014227149204470557,0.03497737001286161,0.014014781137810012,500,0,54,1300
almeida,DER,mid_contrib,-0.002508475254328577,-0.00533104937297635,0.0022873324599401875,0.0017925957933162383,500,0,54,1300
almeida,DER,upside_contrib,0.03170696359297274,-0.003536470974291669,0.07320213147358724,0.019849270900858734,500,0,54,1300
almeida,DER,downside_share,0.19238621449378043,-2.4195738919577288,1.795417348952803,128.4939721458126,500,0,54,1300
almeida,DER,mid_share,-0.06938301642539935,-0.9980670352227412,0.6335244211858684,73.88101359926385,500,0,54,1300
almeida,DER,upside_share,0.876996801931619,-0.8645937025569661,3.444544914898575,202.37298865953517,500,0,54,1300
vanilla,CME,total_ep,0.0367171420842965,-0.01850020331573062,0.10362189988368363,0.03162263782791711,500,0,54,1300
vanilla,CME,downside_contrib,0.005334060712656189,-0.019781470763572274,0.03103741666781741,0.013998903177195245,500,0,54,1300
vanilla,CME,mid_contrib,-0.0030513286548676487,-0.006054530172611348,0.001752593591968916,0.0019668325125226168,500,0,54,1300
vanilla,CME,upside_contrib,0.03443441002650796,-0.0008870554514382427,0.08247943225255701,0.021810929692750107,500,0,54,1300
vanilla,CME,downside_share,0.14527439800216654,-3.8677130544858636,3.981770277444284,4.715941112728164,500,0,54,1300
vanilla,CME,mid_share,-0.08310365354314073,-1.2960880064862466,0.9057815491419454,1.55054168995545,500,0,54,1300
vanilla,CME,upside_share,0.9378292555409742,-3.24681117294256,5.154162150088994,6.108020991458436,500,0,54,1300
vanilla,DER,total_ep,0.03658479223794537,-0.01863255316208166,0.10348955003733254,0.03162263782791712,500,0,54,1300
vanilla,DER,downside_contrib,0.008071923331309521,-0.017043608144918947,0.03377527928647074,0.013998903177195245,500,0,54,1300
vanilla,DER,mid_contrib,-0.0028943489747373418,-0.0058975504924810495,0.0019095732720992246,0.0019668325125226168,500,0,54,1300
vanilla,DER,upside_contrib,0.03140721788137319,-0.003914247596572902,0.07945224010742227,0.021810929692750104,500,0,54,1300
vanilla,DER,downside_share,0.22063603037049384,-2.7777550996939655,2.9764605323912146,2.1584126741771494,500,0,54,1300
vanilla,DER,mid_share,-0.07911344571571334,-1.301523624590386,0.8499282865456017,1.0338039281750309,500,0,54,1300
vanilla,DER,upside_share,0.8584774153452195,-2.955789367961178,4.45597461337237,2.8619820004081262,500,0,54,1300
kde,CME,total_ep,0.041626746959296905,-0.010301853509984546,0.10185842876258608,0.029134987732469732,500,0,54,1300
kde,CME,downside_contrib,0.006613549167296755,-0.016566321442431906,0.030300283240477077,0.012667169905689828,500,0,54,1300
kde,CME,mid_contrib,-0.002206811279954401,-0.005392938172899171,0.0006424093011552817,0.0015514190356471034,500,0,54,1300
kde,CME,upside_contrib,0.03722000907195455,0.0009504070222314749,0.08021185152166364,0.020317977950164552,500,0,54,1300
kde,CME,downside_share,0.1588773961550144,-2.953310635363694,1.7081363886175502,2.8094252379893927,500,0,54,1300
kde,CME,mid_share,-0.0530142622509572,-1.3556037750543606,0.6739415950183529,1.6242469714922483,500,0,54,1300
kde,CME,upside_share,0.8941368660959428,-0.8391054761665663,6.4405868304057705,3.6435697025375795,500,0,54,1300
kde,DER,total_ep,0.04149439711294587,-0.010434203356335566,0.10172607891623507,0.029134987732469735,500,0,54,1300
kde,DER,downside_contrib,0.00935141178595009,-0.013828458823778587,0.033038145859130424,0.012667169905689831,500,0,54,1300
kde,DER,mid_contrib,-0.0020498315998240917,-0.005235958492768866,0.0007993889812855855,0.0015514190356471023,500,0,54,1300
kde,DER,upside_contrib,0.03419281692681987,-0.0020767851229031866,0.07718465937652902,0.020317977950164552,500,0,54,1300
kde,DER,downside_share,0.22536565022251007,-1.9509557693885944,1.5714214475846688,4.42057889309253,500,0,54,1300
kde,DER,mid_share,-0.049400202013889796,-1.3707039272658772,0.6450795236852159,4.40299144945273,500,0,54,1300
kde,DER,upside_share,0.8240345517913797,-0.5424113660605129,5.486600492683793,4.889072702293762,500,0,54,1300
