estimator,venue,density_range_pct,ep_range_pct,total_ep_min,total_ep_max,total_ep_spread,nb_ref,nb_grid
almeida,CME,0.3948136670159247,0.9551382471105065,0.03627247648436227,0.042941256474362546,0.006668779990000276,12,"[8, 9, 10, 11, 12, 13]"
almeida,DER,0.3948136670159247,0.9899288240625194,0.036271704389220095,0.04294048437922037,0.006668779990000276,12,"[8, 9, 10, 11, 12, 13]"
vanilla,CME,0.4634654275617392,1.6522865491349168,0.023408848464936353,0.04857806341284034,0.02516921494790399,12,"[8, 9, 10, 11, 12, 13]"
vanilla,DER,0.4634654275617392,1.719545355590357,0.023408076369794202,0.048577291317698224,0.02516921494790402,12,"[8, 9, 10, 11, 12, 13]"
