grid,lo,hi,estimator,venue,total_ep,raw_anchor,gap_to_anchor,q_clipped_mass,n_returns_below,n_returns_above,gap_closed_vs_headline
headline,0.4,2.0,almeida,CME,0.03624864814085696,0.04416204592692541,0.007913397786068449,0.007779963479403129,0,4,0.0
headline,0.4,2.0,vanilla,CME,0.03669175669662017,0.04416204592692541,0.007470289230305238,0.007779963479403129,0,4,0.0
headline,0.4,2.0,kde,CME,0.04160136157162063,0.04416204592692541,0.0025606843553047792,0.007779963479403129,0,4,0.0
headline,0.4,2.0,almeida,DER,0.03625003701287545,0.04416204592692541,0.007912008914049959,0.008921821810175645,0,4,0.0
headline,0.4,2.0,vanilla,DER,0.03669314556863873,0.04416204592692541,0.007468900358286679,0.008921821810175645,0,4,0.0
headline,0.4,2.0,kde,DER,0.04160275044363912,0.04416204592692541,0.002559295483286289,0.008921821810175645,0,4,0.0
wide_1,0.35,2.2,almeida,CME,0.03526796960731744,0.04416204592692541,0.008894076319607966,0.004261649111775845,0,0,-0.12392635376753125
wide_1,0.35,2.2,vanilla,CME,0.038235053767594306,0.04416204592692541,0.005926992159331103,0.004261649111775845,0,0,0.2065913411643201
wide_1,0.35,2.2,kde,CME,0.04261539574448129,0.04416204592692541,0.001546650182444119,0.004261649111775845,0,0,0.39600123723174285
wide_1,0.35,2.2,almeida,DER,0.03522057367122094,0.04416204592692541,0.00894147225570447,0.004897759028374082,0,0,-0.13011402702370756
wide_1,0.35,2.2,vanilla,DER,0.03818765783149785,0.04416204592692541,0.005974388095427559,0.004897759028374082,0,0,0.2000980319948935
wide_1,0.35,2.2,kde,DER,0.042567999808384806,0.04416204592692541,0.0015940461185406027,0.004897759028374082,0,0,0.3771543266689348
wide_2,0.3,2.6,almeida,CME,0.03401652445712195,0.04416204592692541,0.010145521469803458,0.0017230576869029512,0,0,-0.2820689347456622
wide_2,0.3,2.6,vanilla,CME,0.04007241022394645,0.04416204592692541,0.004089635702978961,0.0017230576869029512,0,0,0.452546537771489
wide_2,0.3,2.6,kde,CME,0.04282288768762575,0.04416204592692541,0.0013391582392996565,0.0017230576869029512,0,0,0.4770311161055747
wide_2,0.3,2.6,almeida,DER,0.03386510376125025,0.04416204592692541,0.010296942165675158,0.0019765763564066896,0,0,-0.30143207338784594
wide_2,0.3,2.6,vanilla,DER,0.039920989528074796,0.04416204592692541,0.004241056398850612,0.0019765763564066896,0,0,0.43217124403792617
wide_2,0.3,2.6,kde,DER,0.04267146699175408,0.04416204592692541,0.0014905789351713286,0.0019765763564066896,0,0,0.41758232103104576
