venue,estimator,total_ep,downside_contrib,downside_share,mid_contrib,mid_share,upside_contrib,upside_share
CME,almeida,0.036286374106644356,0.004217673290915325,0.11623297710925136,-0.002665454956060899,-0.07345608432044552,0.03473415577178993,0.9572231072111942
DER,almeida,0.03593027686234978,0.006741147518222741,0.18761746657417439,-0.0026019846021355236,-0.07241760513295856,0.031791113946262564,0.8848001385587843
CME,vanilla,0.036717142022403865,0.0053340606724105845,0.14527439715095136,-0.0030513286691806916,-0.08310365407304438,0.034434410019173974,0.9378292569220931
DER,vanilla,0.03636104477810918,0.007857534899718,0.2160976107168558,-0.0029878583152553135,-0.08217195995023016,0.03149136819364649,0.8660743492333743
CME,kde,0.04162674691406391,0.006613549128637408,0.15887739539894172,-0.002206811294182042,-0.05301426265035508,0.03722000907960854,0.8941368672514134
DER,kde,0.04127064966976922,0.009137023355944828,0.22139276771883978,-0.0021433409402566665,-0.05193378241939005,0.03427696725408105,0.8305410147005502
