date,d_Pi_2,d_Pi_3,d_Pi_4,cme_basis,der_funding,cme_basis_z,der_funding_z
2020-01-16,0.005850839508097692,0.002998943230760282,0.003795133321898854,0.15401451860747628,0.3391893702523005,0.49346136103133204,1.2026324790876701
2020-01-17,0.005748966159601285,0.0019121445618413167,0.0035454563060633897,-0.009716552130757112,0.380126991095014,-0.16399282491344874,1.3856678385661905
2020-01-21,0.0045764573221229315,0.0017821398197409933,0.002816117201050265,0.01318880318055894,0.23473023672993568,-0.07201747984254689,0.7355873831222581
2020-01-23,0.002527941893421891,0.0021770479265991677,0.0021080317825465664,0.02616306376364129,0.15783866593004278,-0.019919964744003055,0.3917990531579999
2020-01-24,0.0024503158209081763,0.0012714877170577942,0.001303541712522548,0.11331651217369189,0.12388976244208168,0.33004048697941,0.24001080494262877
2020-01-29,0.0028847356934089546,0.0018306565654308974,0.002081890246996422,0.24754426992552042,0.5558339261391199,0.8690255483121485,2.171267523077196
2020-01-30,-0.0009034010652164623,0.0008904813099135777,0.0008055712023081517,0.26528422040006444,0.5578574634023782,0.940259460393434,2.1803149191587052
2020-01-31,0.0006040260880920863,0.00048142982470016776,0.000308614010611487,0.11273874237095544,0.44144397974893973,0.32772048031476864,1.6598209727586297
2020-02-03,0.006363900976313296,0.002500876407521517,0.003617902746219568,0.1634924543309919,0.29140912798115826,0.5315195529642687,0.9890032148548925
2020-02-04,0.0070729836454109934,0.002582197454856943,0.004421554176895919,0.10909068851119649,0.2614419413757904,0.3130718966962993,0.855017539577193
2020-02-05,0.005835087493293943,0.00014732094229648763,0.002650809107964506,0.31648232477844934,0.5092670823049573,1.1458429692793062,1.9630634597850538
2020-02-06,0.007074317528239296,0.0006894276037358203,0.003046688986688916,0.24805709082627647,0.7136260522439423,0.8710847558060094,2.8767686716525365
2020-02-07,0.008791733096643974,0.0026785891695224676,0.0059073547776480485,0.07621325707209292,0.4798871116401846,0.18105416282763723,1.8317032736922607
2020-02-10,0.00506427272862793,-0.0008275949971309274,0.0013005685252743537,0.1383237023509092,0.5105198143702787,0.4304556481739158,1.9686645245070937
2020-02-11,0.005604665033814495,0.0005995502376991641,0.003987233714317587,0.35200953838783366,0.4494461236139225,1.2885007751382025,1.6955991945696476
2020-02-12,0.005126719867855935,0.0009458267296709923,0.004031300470157526,0.370370095685634,0.8992046226396719,1.362226703865663,3.7065052231340845
2020-02-13,0.007462978917427768,0.0018089242811213891,0.005191609110892481,0.1800239693803823,0.8494665625944605,0.5979010511138002,3.484122399884113
2020-02-14,0.0056933904160954285,0.0005559432275007749,0.003445533750288053,0.38103837437265436,0.8868711428674833,1.4050646603267223,3.6513612539132785
2020-02-18,0.005933186896735984,0.0007608249974216481,0.0034651324030262097,0.2992009006841913,0.31864903180639026,1.076450247674122,1.110794991860397
2020-02-20,-0.0010654343694549429,-0.002961684468379829,-0.003792354370459307,0.147690900978403,0.19555055438449187,0.4680691806601717,0.5604119065134615
2020-02-26,-0.0010671131980219753,9.103970683194563e-05,-0.0011115856107952564,0.08090780661725433,0.5667051605017711,0.19990489919475005,2.2198736767466585
2020-02-27,-0.005498661046383906,-0.0037783755322497196,-0.004017453503344833,0.20855201007534832,0.03776831719995139,0.7124540170666988,-0.14504502791260945
2020-03-02,0.0038748252543260517,-0.0010755700008783986,0.0031006906734321986,0.154909175128034,0.09642777789422435,0.49705381096628576,0.11722608735918617
2020-03-06,0.002960012315220372,-0.00093074050461523,0.0008166085822952822,0.0708243472104597,-0.0015493264081243945,0.15941525623382272,-0.3208373403017991
2020-03-09,-0.016182552629000237,-0.028490116845336682,-0.043946378833991835,-0.16165399726505156,-0.024666391962190407,-0.77409027834671,-0.4241955794147618
2020-03-10,-0.002237743636943297,-0.010204162286029935,-0.01322068479596607,0.196878117066315,-0.010201312860764672,0.6655780649920248,-0.3595210600188468
2020-03-11,-0.019287467458832946,-0.036270416462665225,-0.0553189725352119,-0.13711754449708138,-0.0017558627343351972,-0.6755653404237856,-0.32176078064677205
2020-03-16,0.1552043497534834,0.28750574141659135,0.5257596954697117,-0.43953158775607665,-0.8009174677635204,-1.8898942868641542,-3.8948758920488444
2020-03-17,0.0559747919715122,0.0821552239491323,0.14073389750109078,0.8299900266775387,-0.8158372437887391,3.2078082798720318,-3.9615833975633223
2020-03-19,-0.016171721252594,-0.035255786382608637,-0.06076672071558925,0.1192111258699722,-0.36279405011247784,0.3537100228327657,-1.935991237910723
2020-03-25,0.005895555745810271,0.002250240885255564,0.005300301118499107,-0.034893995811747576,-0.25158995184865546,-0.265091630807905,-1.4387888680073369
2020-03-26,0.0035135144583172406,0.0031862103214606308,0.006025923982836828,-0.036436324723179175,-0.18877168310711911,-0.2712847778651641,-1.1579233911125817
2020-03-30,0.017139469856038203,0.02164598073775552,0.044701540442925736,-0.10111733074188929,-0.060676103449098635,-0.5310082253842208,-0.5851978641358875
2020-04-01,0.00980250860075342,-0.0005373120410971308,0.002814262235898826,-0.8436708945064285,-0.08904798150826593,-3.5126961028532278,-0.7120507879927153
2020-04-02,0.00914846917617533,0.012555807989900712,0.021477114028699715,0.15349624960730154,-0.010218532281363176,0.4913802769580772,-0.3595980494181909
2020-04-06,0.00613006657489315,0.00035161222924329216,0.002175417158954751,0.13924929353254548,-0.006320429315241568,0.4341723147424331,-0.34216932095276165
2020-04-13,-0.004869960236479384,-0.024953307984097575,-0.044709963170982386,-0.13354285976589608,-0.35992629073543303,-0.6612113669882361,-1.9231692575984811
2020-04-16,-0.004216122100530559,-0.009968326444362012,-0.0204242395594567,-0.05507430843137646,-0.1459100402740798,-0.3461246989093226,-0.966285576254524
2020-04-29,-0.015563390609449529,-0.015410176844276202,-0.027433371550277627,0.03013449310930321,-0.014295628509431939,-0.003972882521205006,-0.37782707099715035
2020-05-01,-0.0021226996894437716,0.001036113698153776,-1.2475921437854476e-05,-0.03291756050734478,0.00338718523902814,-0.25715535055107996,-0.29876580401545694
2020-05-04,0.007432764961513155,0.006648678125241871,0.01329573738598041,0.03270537675399126,-0.018275799653637174,0.006350376260137826,-0.3956227328155217
2020-05-05,0.01494251065379866,0.019137997462978,0.029697406448632516,-0.027151978535099874,-0.008034183409601211,-0.23400393533728442,-0.3498316518420941
2020-05-07,0.0037534802533953637,0.0026189451616919074,0.0021366298385771393,0.0858576418584051,-0.020925376418514854,0.2197807229120113,-0.40746920131178854
2020-05-18,0.014643544966998295,0.007092213724398985,0.013365486337069854,0.0494202721995869,0.12761147219646962,0.07346822951051701,0.25665086532587306
2020-05-19,0.008337127478596745,0.00594500437164526,0.009122332670746802,-0.14161539862942701,0.02335098922203216,-0.6936262558856249,-0.20950604823660487
2020-05-22,-0.0020165411754757695,-0.012270800627143627,-0.022234645184587704,0.0758084579937475,-0.014162993314622929,0.1794287117307573,-0.37723404848969583
2020-05-27,0.001145105690568457,-0.0010884565189641544,-0.0030866640885916785,0.08316180435055422,-0.009151889935800801,0.20895571794397363,-0.35482900663709904
2020-05-28,-0.007238979500948116,-0.0031137106669187516,-0.0055785986081467905,0.04103828611953313,0.0022429767766949074,0.03981077030002523,-0.30388165107521115
2020-05-29,-0.00025603464410640236,-0.0015901850769888433,-0.0017981499954581037,0.038540517419840825,0.030838931782575494,0.02978110103975399,-0.17602686136374326
2020-06-02,0.006008455284182132,0.0045235116301377346,0.005244199443072674,0.07125479855657858,0.47131569299945214,0.16114371276974726,1.793379779071625
2020-06-03,0.010075545338260883,0.004394470700001256,0.008327211485276213,-0.0024989249921743423,0.0005024219804429364,-0.13501079264886764,-0.3116638100347675
2020-06-04,0.009474330676503759,0.004748925540561822,0.008397372817399953,0.14066918085280783,0.0036475235371336693,0.43987380351953187,-0.29760181077406045
2020-06-08,0.007847352584654382,0.0030554547049662095,0.006247313365727182,0.015148778158717346,0.01613200591342889,-0.06414729522867219,-0.24178269689765716
2020-06-09,0.008320681229787338,0.003757838565825327,0.007392062393964928,0.01733798296386729,0.0019120229780244236,-0.05535664934486583,-0.30536137183727435
2020-06-11,0.007724692741851752,0.004904118484170661,0.005721687526399698,-0.04741345594044526,0.03999684274543868,-0.3153629167053778,-0.13508111291392108
2020-06-12,0.005105976480959895,0.0011894357820811385,0.0009441006390054421,-0.03590478206926215,-0.004059019576840097,-0.2691503940780779,-0.33205837811153366
2020-06-15,0.00906421802617112,0.004739812520385477,0.009690307329024324,-0.02954398561685809,0.014640971942357722,-0.24360892394220082,-0.2484492283978206
2020-06-18,0.005524207974719461,0.004459698947193606,0.004988056955414953,-0.006494330164204413,0.021968800749086456,-0.1510541486414282,-0.21568592285571608
2020-06-19,0.002704009995035804,0.00045025715261182847,-0.00013094191305829117,0.10610414742783729,0.011233914350284991,0.30107958559799985,-0.2636824539319823
2020-07-01,0.0019960714067034056,0.0019051630423923922,0.0019938150580937914,0.1159489173682317,-0.002072402643456474,0.3406107825650288,-0.32317605576199954
2020-07-02,-0.00034010723960247596,0.0009696275282859712,0.00025000097716016117,-0.07933080659280084,-0.004582170855552232,-0.4435254926663403,-0.3343974290966562
2020-07-06,0.005639729260604333,0.002372197085418392,0.004538096601074376,-0.02848751429280278,0.003933026617392451,-0.23936671449961275,-0.29632530378973504
2020-07-07,0.008632966626303404,0.0013650161916789905,0.006423141041023531,0.055154389776502985,0.0062527645376479965,0.09649330096851914,-0.28595357100728386
2020-07-08,0.006271883884121879,0.0005875078230143417,0.003948483047239833,0.12168261211983947,0.020335489878422083,0.3636341561884805,-0.22298858569244612
2020-07-09,0.00498934064488929,0.0007628425936462681,0.0031117927824094935,-0.03616731358806561,0.025274547862045568,-0.2702045766788606,-0.2009056645331749
2020-07-10,0.005472563953362965,0.0012594755044525816,0.0024148099371514246,-0.006245109982119936,0.021585218058599795,-0.15005341706864495,-0.21740095157985018
2020-07-13,0.0041169582831221685,0.0005483980601116312,0.0014317842780087343,0.04964761960805406,0.09271379268714026,0.07438113202001934,0.1006205640414446
2020-07-14,0.0038926179058778113,0.0010469887760318425,0.0011903644981829595,0.1319542929562667,0.039985753593596046,0.40487959318555816,-0.13513069339397943
2020-07-15,0.005094931105390256,0.0014789128434427824,0.001972668631843942,-0.005932438547504768,0.05911632514792434,-0.1487979000639235,-0.049596386089472824
