dep_var,regressor,coef,t_stat,p_value,stars,n_days,n_event_days,nw_lags
dPi_2,const (non-event wedge),0.0030693677855888352,5.58794405216931,2.2977364018970744e-08,***,621,,27
dPi_2,COVID,0.010990240113923138,3.2295495041865476,0.0012398541428044758,***,621,15.0,27
dPi_2,Terra,0.00582635156446216,5.919914413509014,3.22109200252509e-09,***,621,28.0,27
dPi_2,FTX,-0.0015981572333784576,-1.5475779824178812,0.12172393580963084,,621,23.0,27
dPi_3,const (non-event wedge),0.001141143961923807,3.1092528560195474,0.00187561126559148,***,621,,27
dPi_3,COVID,0.01698774970621022,2.600975821666561,0.009295900540480372,***,621,15.0,27
dPi_3,Terra,0.007505303955638282,6.844896670835542,7.653109113261716e-12,***,621,28.0,27
dPi_3,FTX,0.000542582829918266,0.5856776620831897,0.5580921480211711,,621,23.0,27
dPi_4,const (non-event wedge),0.001799222492688232,3.199481956537005,0.0013767480468782438,***,621,,27
dPi_4,COVID,0.03386362625015199,2.8392474093328994,0.004522008059536145,***,621,15.0,27
dPi_4,Terra,0.011747869542907316,6.856274950489721,7.067928356020549e-12,***,621,28.0,27
dPi_4,FTX,0.0008034661133058436,0.4645301605401645,0.6422679560096352,,621,23.0,27
