regime,n_days,mean_down,mean_mid,mean_up,se_down,se_mid,se_up,lo_down,hi_down,lo_mid,hi_mid,lo_up,hi_up
unconditional,619,0.03079066551956788,-0.006881214637510731,0.08267100415511029,0.005121313986304875,0.0011826623026819612,0.016319099546243228,0.02095255864249129,0.041714470216012864,-0.009273101520167408,-0.004496078329717499,0.056517997733290776,0.11818405020826198
low,223,0.029757386529869086,-0.0023678671353902854,0.10384889258377698,0.010971239023142114,0.0013356677535199155,0.04585598175665768,0.0105705019553059,0.055400459302943586,-0.004934803549440861,0.00038587164240446543,0.03527404468588999,0.20545778174205012
mid,191,0.03183039035611594,-0.006203420202077488,0.07347064207780658,0.006527141222259828,0.000946295826533615,0.011878142127834517,0.019762381536032894,0.04583151157341994,-0.00816410024699407,-0.004551504602337527,0.05012214727373658,0.09694241283953738
high,205,0.03094595220699303,-0.012422362101611259,0.06820563848278015,0.0037201119749559323,0.0011313407960896478,0.008798525746333921,0.02300103075967368,0.03761752877157593,-0.014507565574394822,-0.009914748995451554,0.048121917739374,0.0825684649555283
