dep_var,spec,regressor,coef,se,t_stat,p_value,stars,r2,n
d_Pi_2,basis_only,const,0.0035383433558723873,0.0005793870150212713,6.107046350948135,1.0149177218985092e-09,***,0.0034141794515252233,621
d_Pi_2,basis_only,cme_basis,0.0005508954186363696,0.0006090950128816028,0.9044490711393394,0.3657573280069719,,0.0034141794515252233,621
d_Pi_2,funding_only,const,0.0035383433558723873,0.0006019820211146034,5.877822313232788,4.1569877351561734e-09,***,0.013775871814393437,621
d_Pi_2,funding_only,der_funding,-0.0011065869266529999,0.0012160584387913152,-0.9099784116895541,0.36283389505405517,,0.013775871814393437,621
d_Pi_2,joint,const,0.0035383433558723873,0.0006024764466893693,5.872998646363218,4.279819693491654e-09,***,0.019389395040931845,621
d_Pi_2,joint,cme_basis,0.0007128855101516088,0.0005879504599538119,1.2124924780356692,0.22532392020853842,,0.019389395040931845,621
d_Pi_2,joint,der_funding,-0.0012026116022916596,0.0011918028221038302,-1.0090692688315246,0.31294141497876127,,0.019389395040931845,621
d_Pi_3,basis_only,const,0.001909975139764622,0.0005537757588415465,3.4490046002738244,0.0005626571163804705,***,0.0012328958194463002,621
d_Pi_3,basis_only,cme_basis,0.00047722067831228876,0.0008006782746413747,0.5960205158882783,0.5511615212604534,,0.0012328958194463002,621
d_Pi_3,funding_only,const,0.001909975139764622,0.0005936072623822342,3.2175737407585068,0.0012927979003725016,***,0.0351272869624486,621
d_Pi_3,funding_only,der_funding,-0.002547289867030076,0.0019606474240502114,-1.2992085347849063,0.1938723733025841,,0.0351272869624486,621
d_Pi_3,joint,const,0.001909975139764622,0.0005920383347779776,3.226100452567634,0.0012548930529112739,***,0.03883771993042573,621
d_Pi_3,joint,cme_basis,0.0008354960397695128,0.0006367042232802783,1.3122200375318165,0.1894459029158776,,0.03883771993042573,621
d_Pi_3,joint,der_funding,-0.0026598300085728457,0.0019210291439860307,-1.384585974085663,0.16617910267892022,,0.03883771993042573,621
d_Pi_4,basis_only,const,0.0031766370845718395,0.0009802414791668101,3.24066788856143,0.001192500273569491,***,2.2061996569178177e-05,621
d_Pi_4,basis_only,cme_basis,0.00011533644876974265,0.0014490822649665322,0.07959275436471265,0.9365611581140816,,2.2061996569178177e-05,621
d_Pi_4,funding_only,const,0.0031766370845718395,0.0010501698509766755,3.024879338915999,0.0024873233689983363,***,0.031809243053706915,621
d_Pi_4,funding_only,der_funding,-0.004379462744423377,0.0035145384733109453,-1.246098962262209,0.2127280657742342,,0.031809243053706915,621
d_Pi_4,joint,const,0.0031766370845718395,0.0010469875226114347,3.034073487951943,0.002412756494494063,***,0.0326493652113774,621
d_Pi_4,joint,cme_basis,0.0007182761156628223,0.0012336884953038805,0.5822183787860464,0.560419595353641,,0.0326493652113774,621
d_Pi_4,joint,der_funding,-0.004476213527043233,0.0034533790359580737,-1.2961836741449362,0.1949122127662184,,0.0326493652113774,621
