dep_var,regressor,coef,se,t_stat,p_value,stars
Pi_2,const,0.05066001099384712,0.0004954705209340581,102.24626663629387,0.0,***
Pi_2,DER,0.003222884820765088,0.0006753827417014719,4.771938371782745,1.8246133982525998e-06,***
Pi_2,Z_IVS_1,0.027793834044506093,0.0008723074794539925,31.86242775529475,8.85624670364754e-223,***
Pi_2,rv,0.0008034024887971633,0.0006295637474949689,1.2761257172032188,0.20191108196398622,
Pi_2,fng,-0.004228835042672453,0.0006762391293237861,-6.253461030717241,4.0145477157128277e-10,***
Pi_2,DER×Z_IVS_1,0.002641368809231503,0.0022132772306675563,1.1934197725581932,0.23270501508282293,
Pi_2,DER×rv,0.0011055072837982494,0.0016257269209652909,0.6800079826086929,0.496499406446265,
Pi_2,DER×fng,-0.0005682607246885468,0.0009882277825868499,-0.5750301040930363,0.5652709374739879,
Pi_3,const,0.01774505178674368,0.0008555822342712736,20.740322877154757,1.4991598245357055e-95,***
Pi_3,DER,0.0014727940880761182,0.0012712264613735454,1.1585615410214019,0.2466349529731504,
Pi_3,Z_IVS_1,0.01419826548020691,0.0016092704826571199,8.822796188222929,1.1163642461605687e-18,***
Pi_3,rv,0.0020050408539191125,0.0010163749342834052,1.972737408496566,0.048525487593799585,**
Pi_3,fng,-0.007048916798133744,0.0011782337718163694,-5.98261310000231,2.195859339300402e-09,***
Pi_3,DER×Z_IVS_1,0.002803608127309518,0.004474635347076366,0.6265556653999387,0.5309505373822441,
Pi_3,DER×rv,0.0012746309148013268,0.002520544284665116,0.5056966951765645,0.6130695886546069,
Pi_3,DER×fng,-0.001052569177766245,0.0018913914589538114,-0.556505197685758,0.5778655422141936,
Pi_4,const,0.02959677279485151,0.0014886925319673742,19.88105143225112,5.937644570071216e-88,***
Pi_4,DER,0.0022778092780930573,0.0021681951586501147,1.0505554672999025,0.29346280320165274,
Pi_4,Z_IVS_1,0.030286330777625152,0.0030098825946020024,10.06229639386646,8.108454676152082e-24,***
Pi_4,rv,0.0014176120550963356,0.002098223778069456,0.675624816529655,0.49927888125246345,
Pi_4,fng,-0.007213649478168203,0.0017483359688023534,-4.126008734528126,3.6911325447163914e-05,***
Pi_4,DER×Z_IVS_1,0.0048283988421866375,0.007028830304928961,0.6869420134955779,0.49211927013577583,
Pi_4,DER×rv,0.002236507388396296,0.0031894131828032884,0.7012284894459959,0.4831604330957906,
Pi_4,DER×fng,-0.0018073590837051217,0.002979459152576173,-0.6066064312854897,0.5441121311698549,
Pi_2,R²,0.9475243350257224,,,,
Pi_2,N,1391.0,,,,
Pi_3,R²,0.6809967936850492,,,,
Pi_3,N,1391.0,,,,
Pi_4,R²,0.7332895363304814,,,,
Pi_4,N,1391.0,,,,
