regime,n_days,mean_down,lo_down,hi_down,mean_mid,lo_mid,hi_mid,mean_up,lo_up,hi_up
unconditional,619,-0.009586957246833346,-0.012435011226037915,-0.006592013796637372,0.018512939251145014,0.013177064311642207,0.023559138643165407,-0.008919556070684346,-0.011234954271331999,-0.006272524592822456
low,223,-0.005504770216118816,-0.009911721009880062,-0.00014571612759668634,0.011105408427769338,-0.0001394113559580268,0.01988940718674601,-0.0055317164903044445,-0.009934991544741197,0.0003036036184819453
mid,191,-0.009487421817760964,-0.012595730129763822,-0.006438647472704625,0.01852516158165969,0.013848432116373812,0.024233428250430098,-0.009004186421362859,-0.01222327574163315,-0.006182712752144259
high,205,-0.014120318099526828,-0.0171307827349466,-0.010411378163509202,0.02655949978033757,0.021566367728669614,0.03117715585679521,-0.0125260137752947,-0.014863429788479484,-0.009878101650365251
