dep_var,regressor,coef,t_stat,p_value,stars,uncond_wedge_same_sample,n_days,nw_lags,r_squared
dPi_2,const (alpha),7.930577126465897e-06,0.0037986579164441744,0.9969691167858734,,0.003538343355872385,621,27,0.07296630520150604
dPi_2,async_move,-0.05451679623987327,-1.9346120565107514,0.05303791941280173,*,0.003538343355872385,621,27,0.07296630520150604
dPi_2,intraday_rv,1.3199543409097996,1.686732125879093,0.09165487181275059,*,0.003538343355872385,621,27,0.07296630520150604
dPi_3,const (alpha),-0.003353220696466337,-0.9031073637052857,0.3664689162165926,,0.001909975139764622,621,27,0.06626868326792468
dPi_3,async_move,-0.04600725968189962,-1.1452824205410117,0.2520921857146352,,0.001909975139764622,621,27,0.06626868326792468
dPi_3,intraday_rv,1.790039325623289,1.290889541815074,0.19674198236234997,,0.001909975139764622,621,27,0.06626868326792468
dPi_4,const (alpha),-0.005777226169042457,-0.867084412410165,0.38589576059601416,,0.0031766370845718404,621,27,0.060624854957267216
dPi_4,async_move,-0.09052105274885934,-1.154729969242113,0.248201022912665,,0.0031766370845718404,621,27,0.060624854957267216
dPi_4,intraday_rv,3.1070143600148485,1.228506659211185,0.2192568311153691,,0.0031766370845718404,621,27,0.060624854957267216
