cumulant,predicted_wedge,pred_ci_lo,pred_ci_hi,measured_wedge,meas_ci_lo,meas_ci_hi,residual,n_days,block_length,B
Pi_2,-0.003670731693045021,-0.005124317816882664,-0.002296281479466168,0.0029204623303528384,0.0020460067055713873,0.003843849526936047,0.00659119402339786,619,27,1000
Pi_3,-0.015987266624411904,-0.020675275593118315,-0.01199472289929019,0.0009159242279533034,0.0005294663629905794,0.0013132974591445001,0.016903190852365208,619,27,1000
Pi_4,-0.003741178901371348,-0.0052930363402185565,-0.002221988422711699,0.0013891750980751375,0.0007502136331278985,0.002026585879144913,0.0051303539994464855,619,27,1000
