dep_var,regressor,coef,se,t_stat,p_value,stars
Pi_2,const,0.05058064339712789,0.0005936311077804777,85.2055135490514,0.0,***
Pi_2,DER,0.003599036285664728,0.00041324537584725395,8.709199173217183,2.809447957426906e-17,***
Pi_2,Z_IVS_1,0.027855504155468613,0.0009065492262323032,30.726962584523395,2.048916705712365e-126,***
Pi_2,rv,0.0004117074787750308,0.0006190725937022535,0.6650390971321917,0.5062743879254226,
Pi_2,fng,-0.004226442099659944,0.000766953619583319,-5.510687989133088,5.25891749025334e-08,***
Pi_2,DER×Z_IVS_1,0.0024498174096500847,0.0022169954254210615,1.1050168987988798,0.26958367897676166,
Pi_2,DER×rv,0.0009750657168570709,0.0012050506411416318,0.8091491623400329,0.4187417679620301,
Pi_2,DER×fng,-0.0008373140877143276,0.0006009336904455789,-1.3933552087809855,0.16401494449821016,
Pi_3,const,0.017617071227109954,0.0010155462202083008,17.347384960476226,3.455722754438615e-55,***
Pi_3,DER,0.002001350233986711,0.0005713022646421563,3.5031372319874956,0.0004931246942468629,***
Pi_3,Z_IVS_1,0.01420942075280987,0.0019034266834997158,7.46517891967547,2.852195166972295e-13,***
Pi_3,rv,0.0016670524675400783,0.0011372383674269247,1.4658777924560287,0.1431918342963632,
Pi_3,fng,-0.007044201462494827,0.0013483539454106723,-5.22429699298974,2.3955630986584726e-07,***
Pi_3,DER×Z_IVS_1,0.00314079978339718,0.00388454621615125,0.8085371131223243,0.4190935967729369,
Pi_3,DER×rv,0.0013359591899105017,0.0017687123436319477,0.7553286970153594,0.45034048650404773,
Pi_3,DER×fng,-0.0014544807782893923,0.0010332892617689734,-1.4076220784481455,0.15974741423997504,
Pi_4,const,0.02935331648843239,0.0019305233407765187,15.204849311288585,1.4464340548163792e-44,***
Pi_4,DER,0.00331059107812387,0.0010367593657261145,3.1932106789363157,0.0014787332947769473,***
Pi_4,Z_IVS_1,0.03035973628382027,0.0033122338832629375,9.165939771714545,7.2484125520743105e-19,***
Pi_4,rv,0.0006802961237547811,0.0022829883546764806,0.29798492942868515,0.7658151422964604,
Pi_4,fng,-0.007207829185651285,0.0020140126212015333,-3.5788401273032684,0.00037226753537530487,***
Pi_4,DER×Z_IVS_1,0.005630297197077916,0.006823184865882471,0.8251714276760587,0.40959370408499324,
Pi_4,DER×rv,0.0023501163013304183,0.002869247735791742,0.8190705431303323,0.4130629302817243,
Pi_4,DER×fng,-0.0025879385335764726,0.0018841655325749632,-1.3735197299993647,0.17009049651368563,
Pi_2,R²,0.9504376530526755,,,,
Pi_2,N,1245.0,,,,
Pi_3,R²,0.678230397967601,,,,
Pi_3,N,1245.0,,,,
Pi_4,R²,0.732862979469182,,,,
Pi_4,N,1245.0,,,,
