date,pred_wedge_Pi_2,pred_wedge_Pi_3,pred_wedge_Pi_4,meas_wedge_Pi_2,meas_wedge_Pi_3,meas_wedge_Pi_4
2020-01-16,0.001903421023550074,-0.007366817007187857,0.00165770710992831,0.005740251617982486,0.0031647362691383336,0.00362456880003693
2020-01-17,0.0018776898686153204,-0.00666216188226923,0.0014069559728362114,0.0056876043560769585,0.001981646871434229,0.0034123436657453885
2020-01-21,0.002222343032265907,-0.005040729333080646,0.0016080170937877447,0.004950747189376041,0.002168543526623205,0.0032664690321596275
2020-01-23,0.0007621772567980994,-0.004862713843811401,0.00055002831620341,0.002900082213815651,0.0026490924430393045,0.0027688159755055912
2020-01-24,0.0011742888461066282,-0.0045898994280020415,0.000818169803123615,0.002881194042585758,0.001679323686257778,0.0019267888668238458
2020-01-29,0.0009477464874509886,-0.0062340384297952505,0.0005982502189848509,0.0030749867420947555,0.001989151787332159,0.002376146075465855
2020-01-30,0.0012247255493233813,-0.007841317414360366,0.0008735118832793858,-0.0007050150609791625,0.001019973693192176,0.001151308128983515
2020-01-31,0.0010838870773086304,-0.006288737495738303,0.000711993289407957,0.0005764429609385266,0.0005063307831675826,0.00028099109701496244
2020-02-03,0.0010859192977007645,-0.003833720481780829,0.0006127893489764791,0.006367586176716164,0.0026767706267346097,0.0035633187441490547
2020-02-04,0.000601081653372762,-0.0033011159461848985,0.0002933825652676101,0.007218404668114239,0.0028319540882864066,0.004550765755752971
2020-02-05,0.0015226694575308022,-0.004727099970553772,0.0008980124568367916,0.006069085852453197,0.0006685961140070261,0.0030430344686657278
2020-02-06,0.0014794738889997196,-0.005396927146149125,0.0008240363580307372,0.007952409378548492,0.0015816064942969863,0.004580398191328617
2020-02-07,0.0015348583939310406,-0.006106849607680763,0.0009173481534697032,0.009135657773977061,0.0027413895647167056,0.0064060533888114024
2020-02-10,0.0005660911553248583,-0.008025724065060724,4.846304648020716e-05,0.005319771984317118,-0.00031759425035888123,0.0017343834063412548
2020-02-11,0.0026529217062466227,-0.006593308591000827,0.0022870431429975347,0.005593960283158134,0.0009181694259308572,0.0038850615649327243
2020-02-12,0.0025464265769718775,-0.007362001640827331,0.0021914016484910646,0.005112854939048346,0.0010897906357223983,0.0039279426744263475
2020-02-13,0.0021753168573381,-0.006428687919727183,0.0017962833032929447,0.007392159786721218,0.002068668187043858,0.0049661273328596425
2020-02-14,0.0025796997368821434,-0.006220664596388535,0.0021921280823253737,0.005775141144844821,0.0010198464452906223,0.0034551208065705533
2020-02-18,0.0033289896848486614,-0.007130768992425279,0.0028938834655762354,0.006079149158419381,0.001184517872813126,0.0035662866638702263
2020-02-20,-6.579334686271365e-06,-0.011664797974928306,-0.00017245303273099276,-0.0009933270908873137,-0.002521650491552144,-0.003696181464851891
2020-02-26,0.0029291082386314754,-0.010688137690313728,0.002576948091757174,-0.001183922365800484,2.5076895552240616e-05,-0.0012904389360461656
2020-02-27,0.002446402093978589,-0.012721300769023216,0.0023229702869592885,-0.0056118129570309,-0.0037941139329624807,-0.004309906027920928
2020-03-02,0.0010856946270956583,-0.006625186476169874,0.0007552497413998048,0.00359786205710904,-0.0011874627419286355,0.002474719239903057
2020-03-06,0.0015313060738040077,-0.006782425096963649,0.0011103757946570245,0.0029388238046364513,-0.0006875226449712547,0.0008318503134237898
2020-03-09,-0.005930480700759633,-0.015511560981085176,-0.006725752506013184,-0.0012738386725396067,-0.004313800532117081,-0.0037686868503751803
2020-03-10,-0.0027818589121152565,-0.012052682061558786,-0.003471818874445788,0.003173760424684459,-0.0022942383957524227,-0.0004025781013649171
2020-03-11,-0.004869033420223032,-0.016175058892937567,-0.0057061703979630184,-0.00018687334558904756,-0.006375472022748828,-0.005905598078023783
2020-03-16,-0.01155623360029226,-0.11838484248913617,-0.01969510184662035,0.003775481325244995,0.009038947686285437,0.020884305397934594
2020-03-17,-0.007428747734689517,-0.08982479665540684,-0.011245583023356223,0.018145923208625958,0.014976601732007919,0.02479423844188633
2020-03-19,-0.006818985793665078,-0.06751404466225426,-0.010374995632367406,0.004000743413934915,-0.0010454435117660393,-0.001270780846462649
2020-03-25,-0.009286039199842583,-0.06792000958695915,-0.01343376734850088,0.005557776823512078,0.0018513253474335759,0.004134801958891737
2020-03-26,-0.013807768056977907,-0.05984556147252504,-0.01916081264974799,0.0021115281026179433,0.0008085417737493383,0.0018048303757917522
2020-03-30,-0.013857582361020693,-0.03785019051724532,-0.017101413432661014,0.004166054675975583,0.00036285554132414743,0.006454285593197627
2020-04-01,-0.009713372801303119,-0.0336722726779954,-0.011706485895576674,0.011117010200486444,0.0019665081693610864,0.006375551517508314
2020-04-02,-0.00727394898603094,-0.038317052676903295,-0.008997180249394054,0.003132670068683327,0.0027491764692826152,0.004474135772980892
2020-04-06,-0.006765707450432076,-0.03404589886894307,-0.00850680211953124,0.006821994451375185,0.002029891216715051,0.00470089132005725
2020-04-13,-0.009779915113374837,-0.03395093685683107,-0.01279933448525819,0.012443754281561484,0.004930583215287283,0.00636360149785338
2020-04-16,-0.008617215343070056,-0.028362341955350593,-0.010938327473100723,0.0027203368894798963,0.0007584053576246003,-0.00203777296663836
2020-04-29,-0.0012072562996666425,-0.034380049333159926,-0.001059099173877899,-0.008356258610080283,-0.0050930057962218535,-0.00968159840998074
2020-05-01,-0.0019934412558139797,-0.029857128261650472,-0.002057380994486449,-0.00257857707894156,3.55378588425756e-05,-0.0011334272858433136
2020-05-04,-0.004532931537147483,-0.027944773048941544,-0.004973509505461004,0.0037535222576003946,0.0011714081041025622,0.0030753704758308548
2020-05-05,-0.0021209428536136943,-0.02580667660458722,-0.002082036263594548,0.006160428323133543,0.005182304712807038,0.006145351958808571
2020-05-07,-0.0005796979415842451,-0.03409854398980758,-5.971876131128512e-05,0.0033299060427712385,0.0016986447454676347,-0.00020261415156542367
