venue,regime,n_days,Pi_2,Pi_3,Pi_4,lb_total,share_var,share_skew,share_kurt,mean_vrp
CME,unconditional,624,0.050377364965952354,0.017422425272668615,0.029087281027408766,0.09688707126602973,0.5199596221422323,0.17982198290245166,0.30021839495531605,0.011929382542237878
DER,unconditional,624,0.05411984518235472,0.01983396040976763,0.03276606775374672,0.10671987334586908,0.5071205904354608,0.1858506741803153,0.30702873538422387,0.015485413851698474
CME,low,224,0.025635919331091127,0.005273270886254856,0.007335970527871294,0.03824516074521728,0.670304917839756,0.13788073532713027,0.19181434683311377,-0.003364529715986008
CME,mid,194,0.04570542789858152,0.01439102123097051,0.021017420070500475,0.08111386920005251,0.5634724166080335,0.17741751654674112,0.2591100668452254,0.00741265442044979
CME,high,206,0.08196446141796941,0.03363061920700399,0.060605794343975894,0.1762008749689493,0.4651762451940915,0.19086522250772303,0.3439585322981855,0.031980485548627854
DER,low,224,0.027442372728516202,0.006278448513404156,0.008729328682341145,0.0424501499242615,0.6464611497834095,0.14790168055015135,0.20563716966643925,-0.0017102598533124379
DER,mid,194,0.04879184705560432,0.01592415421019142,0.023281385128487896,0.08799738639428364,0.5544692752235407,0.1809616724165101,0.26456905235994904,0.010382415943022515
DER,high,206,0.08814598822240041,0.03825598500929775,0.06783528125517906,0.19423725448687723,0.45380577714228143,0.1969549307642337,0.3492392920934848,0.03785735459078274
