,var_Q,var_Q,skew_Q,skew_Q,kurt_Q,kurt_Q,Pi_2,Pi_2,Pi_3,Pi_3,Pi_4,Pi_4,vrp,vrp
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
venue,,,,,,,,,,,,,,
CME,0.0496,0.0293,-1.0032,0.5131,9.3063,2.6664,0.0504,0.0303,0.0174,0.02,0.0291,0.0366,0.0119,0.0269
DER,0.0533,0.0324,-1.0244,0.4915,9.1632,2.5467,0.0541,0.0337,0.0198,0.0262,0.0328,0.0476,0.0155,0.0288
