venue,regime,n_days,Pi_2,Pi_3,Pi_4,lb_total,share_var,share_skew,share_kurt,mean_vrp
CME,unconditional,629,0.05059343438207042,0.01763776531032941,0.029485211046387242,0.09771641073878706,0.517757805465404,0.1804995207762821,0.3017426737583141,0.011906064558486501
DER,unconditional,1317,0.05591077726776666,0.021058431683733402,0.035362220310643865,0.11233142926214393,0.4977304894544663,0.1874669611350718,0.3148025494104619,0.015242224841322248
CME,low,225,0.02564450661067628,0.005255161770687185,0.007325629371906562,0.03822529775327003,0.6708778771640175,0.13747863534268023,0.19164348749330232,-0.003364529715986008
CME,mid,196,0.04563470027963208,0.014396706988187442,0.021050668468081384,0.08108207573590091,0.5628210657590046,0.17755720802067448,0.2596217262203208,0.0070382634540760766
CME,high,208,0.08253742418080416,0.03423044574351961,0.06167279201496879,0.17844066193929256,0.46254829635682637,0.19183097266902752,0.3456207309741461,0.032094000368409925
DER,low,257,0.027183310172373177,0.00615201367247441,0.00854403590182858,0.04187935974667617,0.6490860972278982,0.14689846525083697,0.20401543752126472,-0.0015188809238970273
DER,mid,254,0.04832694046206056,0.01587918595073352,0.02322714108980529,0.08743326750259937,0.5527294340294878,0.1816149207767105,0.2656556451938017,0.0098002139937687
DER,high,254,0.08640807962000797,0.036800090616826604,0.0648051189027369,0.1880132891395715,0.45958495814550115,0.19573132721223813,0.3446837146422606,0.03649952663818002
