venue,theta,lambda_1,lambda_2,lambda_3,mean_Pi_2,mean_Pi_3,mean_Pi_4,mean_lb_total,lb_annualized_pct
CME,1.0,1.0,-0.6666666666666666,0.5,0.050377364965952354,0.011614950181779075,0.014543640513704383,0.0765359556614358,103.46527339416322
DER,1.0,1.0,-0.6666666666666666,0.5,0.05411984518235472,0.013222640273178418,0.01638303387687336,0.0837255193324065,113.18449835677177
CME,2.0,1.0,-1.0,1.0,0.050377364965952354,0.017422425272668615,0.029087281027408766,0.09688707126602973,130.97696671148464
DER,2.0,1.0,-1.0,1.0,0.05411984518235472,0.01983396040976763,0.03276606775374672,0.10671987334586906,144.26945841200816
CME,3.0,1.0,-1.3333333333333333,1.6666666666666667,0.050377364965952354,0.02322990036355815,0.048478801712347946,0.12208606704185843,165.04227581584567
DER,3.0,1.0,-1.3333333333333333,1.6666666666666667,0.05411984518235472,0.026445280546356836,0.0546101129229112,0.13517523865162276,182.73689669571226
