venue,kappa_bound,n_days,Pi_2,Pi_3,Pi_4,lb_total,share_var,share_skew,share_kurt,lb_annualized_pct
CME,1.0,624,0.04905946708207562,0.014059663672804838,0.021327402996719223,0.08444653375159969,0.5809529995201996,0.16649189786950258,0.2525551026102977,114.15920303456996
CME,1.25,624,0.049913456257542434,0.016079844786206596,0.025721670660579964,0.091714971704329,0.5442236456055788,0.17532409907997187,0.28045225531444923,123.98505434103735
CME,1.5,624,0.050377364965952354,0.017422425272668615,0.029087281027408766,0.09688707126602973,0.5199596221422323,0.17982198290245166,0.30021839495531605,130.97696671148464
DER,1.0,624,0.0525450182145001,0.01579217380267752,0.023565490431236433,0.09190268244841404,0.5717462952617751,0.17183583092410645,0.2564178738141185,124.2388114580412
DER,1.25,624,0.0535537277607062,0.018193416645657223,0.028702403264374263,0.10044954767073769,0.5331405566528711,0.18111994595827544,0.28573949738885346,135.7929070363676
DER,1.5,624,0.05411984518235472,0.01983396040976763,0.03276606775374672,0.10671987334586908,0.5071205904354608,0.1858506741803153,0.30702873538422387,144.2694584120082
