venue,kappa_bound,n_days,Pi_2,Pi_3,Pi_4,lb_total,share_var,share_skew,share_kurt,lb_annualized_pct
CME,1.0,624,0.049059467004728005,0.014059663555833704,0.021327402847173195,0.08444653340773489,0.5809530009698941,0.16649189716230445,0.25255510186780156,114.15920256971567
CME,1.25,624,0.04991345615512416,0.016079844607893426,0.025721670386287223,0.09171497114930481,0.5442236477823119,0.1753240981967567,0.2804522540209313,123.98505359072689
CME,1.5,624,0.05037736484199871,0.017422425031504884,0.02908728060109233,0.09688707047459591,0.5199596251102236,0.1798219818822275,0.300218393007549,130.97696564158338
DER,1.0,624,0.05245001532226697,0.015441387754694719,0.02334203107253992,0.09123343414950161,0.5748990576888582,0.1692514142281585,0.25584952808298334,123.33408690580774
DER,1.25,624,0.05343473839936393,0.017781895840364412,0.028371804305094634,0.09958843854482298,0.5365556401942572,0.1785538170915402,0.2848905427142026,134.6288150698533
DER,1.5,624,0.05398838712825419,0.019386113184885402,0.03235460463154822,0.10572910494468782,0.5106293783201723,0.18335644849190058,0.3060141731879271,142.93008631411502
