venue,regime,n_days,Pi_2,Pi_3,Pi_4,lb_total,share_var,share_skew,share_kurt,mean_vrp
CME,unconditional,629,0.050593434268001974,0.01763776508861229,0.02948521065275335,0.09771641000936761,0.5177578081629465,0.18049951985466353,0.3017426719823901,0.011906064442691483
DER,unconditional,1317,0.05577072066752962,0.020522325736494377,0.03484806699142372,0.11114111339544772,0.5018009894240807,0.18465107204275102,0.3135479385331682,0.015098702679573136
CME,low,225,0.0257122588201803,0.005316556994971969,0.007379772032040696,0.03840858784719296,0.6694403585592759,0.13842104833751448,0.19213859310320977,-0.0033160176832274534
CME,mid,195,0.04554752750737333,0.014386369359754786,0.020996076125786862,0.08092997299291498,0.5628017139133457,0.17776318003978875,0.25943510604686554,0.006941475935666871
CME,high,209,0.08236720425506398,0.03407758437589455,0.0614688618019893,0.17791365043294782,0.4629616898682351,0.1915400212011148,0.34549828893065015,0.032057456601358274
DER,low,257,0.027221202751304508,0.006105490986768673,0.008538036569977148,0.04186473030805033,0.6502180367819075,0.14583853620560944,0.203943427012483,-0.0014847238685575742
DER,mid,254,0.048207193800820884,0.015512353016750337,0.022890719716495197,0.08661026653406642,0.5565990699481285,0.179105245111431,0.2642956849404405,0.009636512293784188
DER,high,254,0.08609950666047891,0.03587525709137423,0.06392125836911647,0.18589602212096962,0.46315948925712186,0.1929856092780126,0.3438549014648655,0.036275266530092345
