venue,n_days,mean_lb_grid_total,mean_lb_spanning_total,mean_truncation_gap,pct_truncation_gap
CME,619,0.05378491436606983,0.09701263743802298,0.043227723071953134,44.558857705079284
DER,619,0.057249989820651694,0.10563700778589385,0.04838701796524216,45.80498726669109
