venue,theta,lambda_1,lambda_2,lambda_3,mean_Pi_2,mean_Pi_3,mean_Pi_4,mean_lb_total,lb_annualized_pct
CME,1.0,1.0,-0.6666666666666666,0.5,0.05037736484199871,0.011614950021003252,0.014543640300546164,0.07653595516354814,103.46527272109284
DER,1.0,1.0,-0.6666666666666666,0.5,0.05398838712825419,0.012924075456590267,0.01617730231577411,0.08308976490061856,112.3250525508362
CME,2.0,1.0,-1.0,1.0,0.05037736484199871,0.017422425031504884,0.02908728060109233,0.09688707047459592,130.97696564158338
DER,2.0,1.0,-1.0,1.0,0.05398838712825419,0.019386113184885402,0.03235460463154822,0.10572910494468779,142.930086314115
CME,3.0,1.0,-1.3333333333333333,1.6666666666666667,0.05037736484199871,0.023229900042006504,0.04847880100182056,0.12208606588582575,165.04227425306075
DER,3.0,1.0,-1.3333333333333333,1.6666666666666667,0.05398838712825419,0.025848150913180535,0.05392434105258037,0.13376087909401507,180.82489210857594
