venue,regime,n_days,Pi_2,Pi_3,Pi_4,lb_total,share_var,share_skew,share_kurt,mean_vrp
CME,unconditional,624,0.05037736484199871,0.017422425031504884,0.02908728060109233,0.09688707047459591,0.5199596251102236,0.1798219818822275,0.300218393007549,0.01192938241694081
DER,unconditional,624,0.05398838712825419,0.019386113184885402,0.03235460463154822,0.10572910494468782,0.5106293783201723,0.18335644849190058,0.3060141731879271,0.01534903214424675
CME,low,224,0.025703974005002926,0.005334940196432492,0.0073903548960553974,0.038429269097490816,0.6688645037665114,0.13882491969593116,0.1923105765375574,-0.0033160176832274534
CME,mid,193,0.04561771545898141,0.014380546316312434,0.020962085910916473,0.08096034768621033,0.5634575043549536,0.177624562236926,0.2589179334081203,0.007318968626406686
CME,high,207,0.08179537571529809,0.03347919242844715,0.060405079325199854,0.1756796474689451,0.4655939199203884,0.19056955606861214,0.3438365240109994,0.03194413895373
DER,low,224,0.027487341278088138,0.006232195420754332,0.008725359781683376,0.04244489648052585,0.6476006200344866,0.14683026553295345,0.20556911443255987,-0.0016683985553504642
DER,mid,193,0.04860326707762164,0.015570827935359518,0.022941806263496612,0.08711590127647777,0.5579149887156714,0.17873692066782082,0.26334809061650777,0.010169656904669807
DER,high,207,0.08768675640462749,0.037177551022198704,0.06670059946924718,0.19156490689607336,0.45773914348622724,0.1940728686928449,0.3481879878209279,0.03752794588114168
