,vix,baa_spread,dgs2,dxy,Z_IVS_1,rv,fng
vix,1.0,0.7475521712216803,-0.19406672948642387,0.3162433827853154,0.34941696391032645,0.5416335612101709,-0.39600004309886816
baa_spread,0.7475521712216803,1.0,-0.263475834823933,0.3319361350819279,0.24741010108106182,0.4307380392186834,-0.15367552132375087
dgs2,-0.19406672948642387,-0.263475834823933,1.0,0.6973990665259947,-0.6103461769925522,-0.32951589253489083,-0.23508789719530296
dxy,0.3162433827853154,0.3319361350819279,0.6973990665259947,1.0,-0.41183711905129,-0.1343535496298756,-0.4538409128083224
Z_IVS_1,0.34941696391032645,0.24741010108106182,-0.6103461769925522,-0.41183711905129,1.0,0.6957171843757287,0.10484334519801215
rv,0.5416335612101709,0.4307380392186834,-0.32951589253489083,-0.1343535496298756,0.6957171843757287,1.0,-0.18677303336877932
fng,-0.39600004309886816,-0.15367552132375087,-0.23508789719530296,-0.4538409128083224,0.10484334519801215,-0.18677303336877932,1.0
